"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2026年06月19日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A2301","","B1101","","B1106","","C120110","","C210715","","C3101","","C3107","","C3401","","D2201","","H6133","","I5101","","#A03506","","#A05101","","#F01201","","#I0910103",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A2301_住民基本台帳人口（総数）【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1106_森林面積【ｈａ】","注釈","C120110_課税対象所得【千円】","注釈","C210715_事業所数（小売業）【所】","注釈","C3101_農業産出額【百万円】","注釈","C3107_耕地面積【ｈａ】","注釈","C3401_製造品出荷額等【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","H6133_百貨店、総合スーパー数【事業所】","注釈","I5101_病院数【施設】","注釈","#A03506_65歳以上人口割合【％】","注釈","#A05101_人口増減率【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#I0910103_一般病院数（人口10万人当たり）【施設】","注釈"
"2024100000","2024年度","43511","熊本県 五木村","","***","","929","","25,292","","***","","1,014,829","","***","","***","","73","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43512","熊本県 山江村","","***","","3,162","","12,119","","***","","2,967,026","","***","","***","","371","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43513","熊本県 球磨村","","***","","2,648","","20,758","","***","","2,266,180","","***","","***","","556","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43514","熊本県 あさぎり町","","***","","14,058","","15,956","","***","","14,326,615","","***","","***","","2,860","","***","","***","","***","","***","","***","","***","","***","","***",""
"2024100000","2024年度","43531","熊本県 苓北町","","***","","6,222","","6,758","","***","","6,105,332","","***","","***","","594","","***","","***","","***","","***","","***","","***","","***","","***",""
"2023100000","2023年度","43100","熊本県 熊本市","","***","","731,722","","39,032","","***","","1,144,773,638","","***","","***","","10,800","","469,450","","***","","***","","91","","***","","***","","***","","***",""
"2023100000","2023年度","43101","熊本県 熊本市 中央区","","***","","176,424","","2,545","","***","","-","","***","","***","","-","","15,636","","***","","***","","35","","***","","***","","***","","***",""
"2023100000","2023年度","43102","熊本県 熊本市 東区","","***","","191,238","","5,019","","***","","-","","***","","***","","-","","93,191","","***","","***","","17","","***","","***","","***","","***",""
"2023100000","2023年度","43103","熊本県 熊本市 西区","","***","","90,087","","8,933","","***","","-","","***","","***","","-","","26,838","","***","","***","","8","","***","","***","","***","","***",""
"2023100000","2023年度","43104","熊本県 熊本市 南区","","***","","133,277","","11,001","","***","","-","","***","","***","","-","","152,568","","***","","***","","16","","***","","***","","***","","***",""
"2023100000","2023年度","43105","熊本県 熊本市 北区","","***","","140,696","","11,534","","***","","-","","***","","***","","-","","181,216","","***","","***","","15","","***","","***","","***","","***",""
"2023100000","2023年度","43202","熊本県 八代市","","***","","121,657","","68,129","","***","","147,408,497","","***","","***","","6,880","","292,032","","***","","***","","10","","***","","***","","***","","***",""
"2023100000","2023年度","43203","熊本県 人吉市","","***","","30,192","","21,055","","***","","36,845,896","","***","","***","","1,400","","22,077","","***","","***","","9","","***","","***","","***","","***",""
"2023100000","2023年度","43204","熊本県 荒尾市","","***","","49,641","","5,737","","***","","56,288,778","","***","","***","","1,280","","53,120","","***","","***","","5","","***","","***","","***","","***",""
"2023100000","2023年度","43205","熊本県 水俣市","","***","","22,133","","16,329","","***","","24,223,835","","***","","***","","811","","49,796","","***","","***","","7","","***","","***","","***","","***",""
"2023100000","2023年度","43206","熊本県 玉名市","","***","","63,537","","15,260","","***","","76,500,729","","***","","***","","6,080","","57,622","","***","","***","","4","","***","","***","","***","","***",""
"2023100000","2023年度","43208","熊本県 山鹿市","","***","","48,639","","29,969","","***","","53,507,292","","***","","***","","6,710","","70,951","","***","","***","","6","","***","","***","","***","","***",""
"2023100000","2023年度","43210","熊本県 菊池市","","***","","46,814","","27,685","","***","","52,502,233","","***","","***","","5,790","","199,004","","***","","***","","5","","***","","***","","***","","***",""
"2023100000","2023年度","43211","熊本県 宇土市","","***","","36,371","","7,430","","***","","43,716,987","","***","","***","","1,760","","102,948","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43212","熊本県 上天草市","","***","","24,285","","12,667","","***","","26,140,696","","***","","***","","999","","14,308","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43213","熊本県 宇城市","","***","","56,956","","18,867","","***","","66,501,720","","***","","***","","5,390","","137,958","","***","","***","","7","","***","","***","","***","","***",""
"2023100000","2023年度","43214","熊本県 阿蘇市","","***","","24,526","","37,630","","***","","28,189,977","","***","","***","","8,620","","138,000","","***","","***","","4","","***","","***","","***","","***",""
"2023100000","2023年度","43215","熊本県 天草市","","***","","73,437","","68,382","","***","","79,021,668","","***","","***","","4,650","","37,624","","***","","***","","14","","***","","***","","***","","***",""
"2023100000","2023年度","43216","熊本県 合志市","","***","","64,751","","5,319","","***","","92,458,102","","***","","***","","2,010","","576,795","","***","","***","","5","","***","","***","","***","","***",""
"2023100000","2023年度","43348","熊本県 美里町","","***","","8,873","","14,400","","***","","8,355,111","","***","","***","","1,120","","4,191","","***","","***","","2","","***","","***","","***","","***",""
"2023100000","2023年度","43364","熊本県 玉東町","","***","","5,191","","2,433","","***","","5,500,896","","***","","***","","737","","3,388","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43367","熊本県 南関町","","***","","8,856","","6,892","","***","","8,830,610","","***","","***","","1,310","","184,434","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43368","熊本県 長洲町","","***","","15,456","","1,944","","***","","16,743,298","","***","","***","","656","","149,248","","***","","***","","1","","***","","***","","***","","***",""
